"","COD_ID","Q4_PS","Q5_PS","Q6_PS","Q7_PS","Q8_PS","Q9_PS","Q10_PS","Q11_PS","Q12_PS","Q7_Q10_PS","Q8_Q11_PS","Q9_Q12_PS","Q13_DC","Q14_DC","Q15_DC","Q16_DC","Q17_DC","Q18_EI","Q19_EI","Q20_EI","Q21_EI","Q22_EI","Q23_EI","Q24_EI","Q25_EI","Q26_WE","Q27_WE","Q28_WE","Q29_WE","Q30_WE","Q31_WE","Q32_WE","Q33_WE","Q34_GP","Q35_AP","Q36_GP","Q37_GP","Q38_AGE_GP","Q38_RACE_GP","Q38_sOCIO_GP","Q38_GEO_GP","Q38_FAM_GP","Q38_TEAC_GP","Q38_ADM_GP","Q38_JOB_GP","Q38_FUND_GP","Q38_RESOURCE_GP","Q38_GENDER_GP","Q39_GP","Q40_P","Q41_P","Q42_P","Q43_P","Q44_P","Q45_S","Q46_S","GENDER_CAT","ACD_OCC","C_STAGE_CAT"
"1","R1","Mulher cisgênera","White","30-39","Brasil","Rio Grande Do Norte","Natal","Brasil","Rio Grande Do Norte","Parnamirim",TRUE,TRUE,FALSE,"Yes","Não se aplica","Não se aplica","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","São feitas por mim, São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ecologia","TCC na área de ecologia","Pesquisador(a) de mestrado/doutorado","Menos de 1 ano","1-2 minimum salary","Public university","No","NA","Primordially female","Women","Não há distinção entre contratação e promoção de homens e mulheres","Há mais mulheres que homens no meu departamento","Yes","Não passei por nenhuma das situações descritas nas opções anteriores.","No","NA","Women","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência","Impedimento","Não impactou","Não impactou","Não impactou","Impedimento","Grande Acelerador","Grande Acelerador","Não impactou","Impedimento","Neutro","Não impactou","1-3.9","No","NA","No","Yes","Não tenho filhos","Sucessfull","No","Women","Master_PhD_Candidate","Junior"
"2","R2","Mulher cisgênera","White","20-29","Brasil","Distrito Federal","Brasília","Brasil","Distrito Federal","Brasília",TRUE,TRUE,TRUE,"Yes","Não se aplica","Não se aplica","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","São feitas por outros residentes, São feitas por uma ajuda paga","Ciências Biológicas","Mestrado na área de ecologia, Iniciação científica em ecologia","Pesquisador(a) de mestrado/doutorado","Menos de 1 ano","1-2 minimum salary","Public university","No","NA","Primordially female","Both","Homens são facilmente contratados e/ou promovidos","Há mais mulheres que homens no meu departamento, Homens são facilmente selecionados para cargos de coordenação","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","sempre tive ajuda suficiente das próprias pessoas do lab","Impedimento","Grande Acelerador","Grande Acelerador","Neutro","Grande Acelerador","Grande Acelerador","Neutro","Não impactou","Grande impedimento","Grande impedimento","Impedimento","<1","No","NA","No","Yes","Não tenho filhos","Unsucessfull","No","Women","Master_PhD_Candidate","Junior"
"3","R3","Mulher cisgênera","Mixed","20-29","Brasil","Goías","Neropolis","Brasil","Bahia","Ilheus",TRUE,FALSE,FALSE,"Yes","Escolha de programa de pós-graduação","Não se aplica","Com minha/meu companheira/o","São feitas por mim, São feitas pelo cônjuge/outra pessoa significativa","Ecologia","TCC na área de ecologia, Mestrado na área de ecologia, Doutorado na área de ecologia","Pesquisador(a) de mestrado/doutorado","3 a 6 anos","1-2 minimum salary","Public university","No","NA","Indifferent","Both","Não há distinção entre contratação e promoção de homens e mulheres","Há mais homens que mulheres em meu departamento, Mulheres são facilmente selecionadas para cargos de coordenação","No","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Companhia","Não impactou","Neutro","Impedimento","Impedimento","Neutro","Neutro","Neutro","Grande impedimento","Impedimento","Neutro","Neutro","1-3.9","No","NA","Yes","No","Não tenho filhos","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"4","R4","Mulher cisgênera","White","20-29","Brasil","São Paulo","Presidente Prudente","Brasil","São Paulo","Presidente Prudente",TRUE,TRUE,TRUE,"No","Morar mais perto de parentes e amigos","Não se aplica","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","A maioria das tarefas são feitas pela matriarca da casa.","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia","Pesquisador(a) de mestrado/doutorado","3 a 6 anos","2-3 minimum salary","Public university","No","NA","Indifferent","Men","Homens são facilmente contratados e/ou promovidos","Há mais homens que mulheres em meu departamento","Yes","Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","Yes","A situação foi exposta mas nada aconteceu ao assediador., A situação não foi exposta.","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Nunca fiz trabalho de campo para minha pesquisa.","Neutro","Acelerador","Acelerador","Acelerador","Grande Acelerador","Neutro","Não impactou","Não impactou","Neutro","Neutro","Neutro","1-3.9","No","NA","Yes","Yes","Não tenho filhos","Sucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"5","R5","Mulher cisgênera","White","50-59","Brasil","Paraná","Curitiba","Brasil","Paraná","Curitiba",TRUE,TRUE,TRUE,"Yes","Não se aplica","Companheiro(a)/outra pessoa não se mudou, mas o relacionamento permaneceu intacto","Com minha/meu companheira/o, Com minha(s)/meu(s) filha(s)/filho(s)","São feitas por uma ajuda paga","Ciências Biológicas","Mestrado na área de ecologia, Doutorado na área de ecologia, Especialização em ecologia","Professor(a) associada","Mais que 10 anos",">10 minimum salary","Public university","No","NA","Primordially female","Both","Não há distinção entre contratação e promoção de homens e mulheres","Há mais mulheres que homens no meu departamento, Homens são facilmente selecionados para cargos de coordenação","Yes","Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Women","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Preocupações com a segurança pessoal","Acelerador","Neutro","Grande Acelerador","Grande Acelerador","Impedimento","Impedimento","Grande impedimento","Grande impedimento","Não impactou","Grande impedimento","Não impactou","4-7.9","Yes","3","No","No","Trouxe ou contratei alguém para cuidar da(s) criança(s) no campo, Contratei alguém para cuidar da(s) criança(s) em casa ou em outro lugar que não seja o campo, Companheiro(a) ou cônjuge cuida da(s) criança(s) em casa","Very sucessfull","Yes","Women","Professor","Senior"
"6","R6","Homem cisgênero","White","30-39","Brasil","Paraná","Cianorte","Brasil","Paraná","Curitiba",TRUE,TRUE,FALSE,"No","Aumento significativo no meu cargo e/ou salário, Melhor qualidade de vida","Não se aplica","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","Doutorado na área de ecologia","Professor Colaborador Adjunto (temporário)","1 a 3 anos",">5 minimum salary","Public university","Yes","Professor de Ensino Médio - Instituição Privada","Indifferent","Women","Não há distinção entre contratação e promoção de homens e mulheres","Há mais mulheres que homens no meu departamento, Não há distinção entre homens e mulheres para cargos de coordenação","Yes","Não passei por nenhuma das situações descritas nas opções anteriores.","No","NA","Women","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Companhia, Alternativa para proporcionar experiência educacional","Não impactou","Não impactou","Impedimento","Não impactou","Não impactou","Impedimento","Neutro","Grande impedimento","Grande impedimento","Impedimento","Não impactou","1-3.9","No","NA","No","Didnt answer","Não tenho filhos","Sucessfull","Didnt answer","Men","Professor","Junior"
"7","R7","Mulher cisgênera","White","20-29","Brasil","Bahia","Cardeal da Silva","Brasil","Bahia","Juazeiro",TRUE,TRUE,FALSE,"Yes","Escolha de programa de pós-graduação","Companheiro(a)/outra pessoa não se mudou, mas o relacionamento permaneceu intacto, Em relação ao relacionamento, permanece intacto, entretanto a gente sente falta, uma vez que já morávamos juntos, havia uma rotina, de toda forma é muito bom ter alguém nos apoiando independente da presença física","Sozinho(a)","São feitas por mim","Ecologia","TCC na área de ecologia","Pesquisador(a) de mestrado/doutorado","Menos de 1 ano","1-2 minimum salary","Public university","Yes","Minha fonte de renda é proveniente da bolsa de mestrado","Indifferent","Both","Não há distinção entre contratação e promoção de homens e mulheres, Na pós graduação que estou não há distinção, entretanto já trabalhei em empresas de consultoria que a contração de mulheres era maior, no final do trabalho percebi que o motivo dessa contratação não tinha a ver com a valorização da mão de obra de feminina, mas sim interesses pessoais por parte do contratante.","Não há distinção entre proporção de homens e mulheres","Yes","Algum homem já levou o crédito pelo trabalho feito por você., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.)., Você já sofreu alguma discriminação por estar grávida ou por ser mulher e poder engravidar.","Yes","A situação não foi exposta., O assediador era meu chefe/orientador., Quando se trabalha em obras, locais majoritariamente masculinos, infelizmente o assédio é muito comum, são muito os comentários entre os homens sobre as mulheres da obra. São olhares maliciosas, perguntas indecentes do tipo: ""você é casada?"", ou ""como seu marido deixa você trabalhar em uma obra? eu nunca deixaria"" dentre muitos outros absurdos.","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Alternativa para proporcionar experiência educacional","Neutro","Neutro","Impedimento","Impedimento","Neutro","Neutro","Neutro","Neutro","Neutro","Impedimento","Neutro","<1","No","NA","No","Yes","Não tenho filhos","Unsucessfull","Yes","Women","Master_PhD_Candidate","Junior"
"8","R9","Mulher cisgênera","White","20-29","Brasil","São Paulo","São Paulo","Brasil","Santa Catarina","Florianópolis",TRUE,FALSE,FALSE,"Yes","Aumento significativo no meu cargo e/ou salário, Escolha de programa de pós-graduação, Maior ênfase na pesquisa, Melhor qualidade de vida, Morar mais perto de parentes e amigos","Companheiro(a)/outra pessoa significativa se mudou comigo, mas com efeitos negativos significativos no relacionamento","Sozinho(a)","São feitas por mim","Ciências Biológicas","Mestrado na área de ecologia","Pesquisador(a) de mestrado/doutorado","1 a 3 anos","1-2 minimum salary","Public university","Yes","Uber, venda de artes","Indifferent","Both","Homens são facilmente contratados e/ou promovidos, Mulheres não são facilmente contratadas e/ou promovidas","Há mais homens que mulheres em meu departamento, Homens são facilmente selecionados para cargos de coordenação","No","Algum homem já levou o crédito pelo trabalho feito por você., Você já perdeu alguma promoção/benefício (bolsa produtividade) para algum homem, mesmo que tenha se empenhado igualmente., Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que o seu gênero foi decisivo ao não conseguir algum trabalho de liderança., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","Yes","A situação não foi exposta.","Men","The person made a small contribution to my success","Melhor renda em outro lugar, Perdi o interesse pela pesquisa, Situações de discriminação de gênero, Situações de assédio moral, Situações de assédio sexual, Sairei do meio acadêmico quando terminar o mestrado principalmente por psicologicamente não conseguir lidar.","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal, Alternativa para proporcionar experiência educacional","Não impactou","Não impactou","Grande impedimento","Não impactou","Grande impedimento","Não impactou","Não impactou","Grande impedimento","Grande impedimento","Grande impedimento","Grande impedimento","0","No","NA","Yes","Yes","Não tenho filhos","Very unsucessfull","No","Women","Master_PhD_Candidate","Junior"
"9","R10","Mulher cisgênera","White","20-29","Brasil","Paraná","Curitiba","Brasil","Paraná","Curitiba",TRUE,TRUE,TRUE,"Yes","Não se aplica","Não se aplica","Com minha família de origem/parentes (mãe, pai, irmã/o, tia/o, prima/o, etc)","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Ciências Biológicas","TCC na área de ecologia, Mestrado na área de ecologia, Mestrado em andamento","Pesquisador(a) de mestrado/doutorado","Menos de 1 ano","1-2 minimum salary","Public university","No","NA","Indifferent","Women","Homens são facilmente contratados e/ou promovidos, Mulheres não são facilmente contratadas e/ou promovidas","Há mais homens que mulheres em meu departamento, Homens são facilmente selecionados para cargos de coordenação","Yes","Você já foi vista como agressiva ou desagradável por exercer sua autoridade ou mostrar sua opinião., Você já sentiu que o seu gênero foi decisivo ao não ser chamada para algum trabalho de campo., Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","Yes","Você foi coagida a não expor o assédio., A situação não foi exposta., O assediador era meu chefe/orientador.","Men","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência, Preocupações com a segurança pessoal","Acelerador","Acelerador","Neutro","Acelerador","Neutro","Acelerador","Neutro","Grande impedimento","Grande impedimento","Grande impedimento","Impedimento","0","No","NA","Yes","Didnt answer","Não tenho filhos","Unsucessfull","Didnt answer","Women","Master_PhD_Candidate","Junior"
"10","R11","Mulher cisgênera","Not identify","20-29","Brasil","Paraná","Pinhão","Brasil","Paraná","Curitiba",TRUE,TRUE,FALSE,"Yes","Escolha de programa de pós-graduação","Companheiro(a)/outra pessoa significativa mudou-se comigo, com efeitos negativos mínimos sobre relação","Com minha/meu companheira/o","São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Oceanografia","Mestrado em área correlata, com dissertação voltada a área de ecologia, Doutorado na área de ecologia","Pesquisador(a) de mestrado/doutorado","3 a 6 anos","2-3 minimum salary","Public university","Yes","técnica em projetos de pesquisa, consultoria ambiental","Indifferent","Both","Prefiro não responder","Prefiro não responder","Yes","Você já sentiu que seu gênero foi decisivo para ter uma opinião aceita., Você já passou por situações constrangedoras que envolveram piadas relacionadas ao seu gênero (ex: piadas sobre estar de TPM.).","No","NA","Women","The person made a significant contribution to my success","Ainda estou no meio acadêmico","Quantidade de trabalho, sendo necessária assistência","Grande Acelerador","Neutro","Grande Acelerador","Grande Acelerador","Grande Acelerador","Neutro","Neutro","Impedimento","Impedimento","Neutro","Neutro","<1","No","NA","No","Yes","Não tenho filhos","Em construção","Yes","Women","Master_PhD_Candidate","Junior"
