"","ID","Pergunta 19","Q19_Aumento significativo no meu cargo e/ou salário","Q19_Mudança de companheiro(a)/outra pessoa significativa","Q19_Escolha de programa de pós-graduação","Q19_Ênfase reduzida na pesquisa","Q19_Maior ênfase na pesquisa","Q19_Maior prestígio do trabalho","Q19_Maior segurança no trabalho","Q19_Melhor qualidade de vida","Q19_Única oferta de emprego que tive","Q19_Demitida (o/e) do último emprego","Q19_Começou o contrato como professor(a) temporária/professora efetiva","Q19_Acabou o contrato como professor(a) temporária","Q19_Morar mais perto de parentes e amigos","Q19_Aposentada (o/e)","Q19_Prefiro não responder","Q19_Não se aplica","Pergunta 20","Q20_Companheiro(a)/outra pessoa significativa mudou-se comigo,com efeitos negativos mínimos sobre relação","Q20_Companheiro(a)/outra pessoa significativa se mudou comigo,mas com efeitos negativos significativos no relacionamento","Q20_Companheiro(a)/outra pessoa não se mudou,mas o relacionamento permaneceu intacto","Q20_Companheiro(a)/outra pessoa significativa não se mudou comigo e o relacionamento sofreu efeitos adversos","Q20_Companheiro(a)/outra pessoa significativa se mudou comigo,mas com problemas significativos na carreira do cônjuge/outra pessoa significativa","Q20_Filhos mudaram,com nenhum ou mínimos efeitos negativos","Q20_Filhos se mudaram,mas sofreram efeitos adversos significativos","Q20_Filhos não se mudaram","Q20_Prefiro não responder","Q20_Não se aplica","Pergunta 21","Q21_Sozinho(a)","Q21_Com minha/meu companheira/o","Q21_Com minha(s)/meu(s) filha(s)/filho(s)","Q21_Com minha família de origem/parentes (mãe,pai,irmã/o,tia/o,prima/o,etc)","Q21_Com amiga/o(s) ou colega/o(s)","Q21_Em república/pensionato/etc.","Q21_Prefiro não responder","Pergunta 22","Q22_São feitas por mim","Q22_São feitas pelo cônjuge/outra pessoa significativa","Q22_São feitas por crianças","Q22_São feitas por outros residentes","Q22_São feitas por uma ajuda paga","Q22_São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis","Q22_Prefiro não responder","Pergunta 24","Q24_TCC na área de ecologia","Q24_Mestrado na área de ecologia (concluído ou em andamento)","Q24_Mestrado em área correlata,com dissertação voltada a área de ecologia (concluído ou em andamento)","Q24_Doutorado na área de ecologia (concluído ou em andamento)","Q24_Doutorado em área correlata,com tese voltada a área de ecologia (concluído ou em andamento)","Q24_Especialização em ecologia (concluído ou em andamento)","Q24_Nenhuma das anteriores,mas faço pesquisa na área de ecologia","Q24_Nenhuma das anteriores,mas possuo emprego não acadêmico na área de ecologia","Q24_Prefiro não responder","Pergunta 35","Q35_Homens são facilmente contratados e/ou promovidos","Q35_Homens não são facilmente contratados e/ou promovidos","Q35_Mulheres são facilmente contratadas e/ou promovidas","Q35_Mulheres não são facilmente contratadas e/ou promovidas","Q35_Não há distinção entre contratação e promoção de homens e mulheres","Q35_Prefiro não responder","Q35_Não se aplica","Pergunta 44","Q44_Quantidade de trabalho, sendo necessária assistência","Q44_Preocupações com a segurança pessoal","Q44_Companhia","Q44_Alternativa para proporcionar experiência educacional","Q44_Prefiro não responder","Q44_Não se aplica","Pergunta 63","Q63_Trouxe ou contratei alguém para cuidar da(s) criança(s) no campo","Q63_Contratei alguém para cuidar da(s) criança(s) em casa ou em outro lugar que não seja o campo","Q63_Enviei a(s) criança(s) para um(a) amigo(a) ou alguém da minha família cuidar.","Q63_Companheiro(a) ou cônjuge cuida da(s) criança(s) no campo","Q63_Companheiro(a) ou cônjuge cuida da(s) criança(s) em casa","Q63_Não se aplica","Q63_Prefiro não responder","Q63_Não tenho filhos"
"1","R1","Não se aplica,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha família de origem/parentes (mãe,pai,irmã/o,tia/o,prima/o,etc),NA",0,0,0,1,0,0,0,"São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis,NA,NA,NA",0,0,0,0,0,1,0,"TCC na área de ecologia,NA,NA,NA",1,0,0,0,0,0,0,0,0,"Não há distinção entre contratação e promoção de homens e mulheres,NA,NA,NA,NA",0,0,0,0,1,0,0,"Quantidade de trabalho,sendo necessária assistência,NA,NA,NA,NA",1,0,0,0,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"2","R2","Não se aplica,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha família de origem/parentes (mãe,pai,irmã/o,tia/o,prima/o,etc),NA",0,0,0,1,0,0,0,"São feitas pelo cônjuge/outra pessoa significativa,São feitas por uma ajuda paga,NA,NA",0,0,0,0,1,0,0,"Mestrado na área de ecologia,Iniciação científica em ecologia,NA,NA",0,1,0,0,0,0,0,0,0,"Homens são facilmente contratados e/ou promovidos,NA,NA,NA,NA",1,0,0,0,0,0,0,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,1,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"3","R3","Escolha de programa de pós-graduação,NA,NA,NA,NA,NA,NA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha/meu companheira/o,NA",0,1,0,0,0,0,0,"São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis,NA,NA,NA",0,0,0,0,0,1,0,"TCC na área de ecologia,Mestrado na área de ecologia,Doutorado na área de ecologia,NA",1,0,0,0,0,0,0,0,0,"Não há distinção entre contratação e promoção de homens e mulheres,NA,NA,NA,NA",0,0,0,0,1,0,0,"Quantidade de trabalho,sendo necessária assistência,Preocupações com a segurança pessoal,Companhia,NA,NA",1,1,1,0,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"4","R4","Morar mais perto de parentes e amigos,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha família de origem/parentes (mãe,pai,irmã/o,tia/o,prima/o,etc),NA",0,0,0,1,0,0,0,"São feitas pelo cônjuge/outra pessoa significativa,NA,NA,NA",0,1,0,0,0,0,0,"TCC na área de ecologia,Mestrado na área de ecologia,NA,NA",1,0,0,0,0,0,0,0,0,"Homens são facilmente contratados e/ou promovidos,NA,NA,NA,NA",1,0,0,0,0,0,0,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,1,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"5","R5","Não se aplica,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Companheiro(a)/outra pessoa não se mudou,mas o relacionamento permaneceu intacto,NA,NA,NA,NA",0,0,1,0,0,0,0,0,0,0,"Com minha/meu companheira/o,Com minha(s)/meu(s) filha(s)/filho(s)",0,1,1,0,0,0,0,"São feitas por uma ajuda paga,NA,NA,NA",0,0,0,0,1,0,0,"Mestrado na área de ecologia,Doutorado na área de ecologia,Especialização em ecologia,NA",0,1,0,0,0,1,0,0,0,"Não há distinção entre contratação e promoção de homens e mulheres,NA,NA,NA,NA",0,0,0,0,1,0,0,"Preocupações com a segurança pessoal,NA,NA,NA,NA",0,1,0,0,0,0,"Trouxe ou contratei alguém para cuidar da(s) criança(s) no campo,Contratei alguém para cuidar da(s) criança(s) em casa ou em outro lugar que não seja o campo,Companheiro(a) ou cônjuge cuida da(s) criança(s) em casa,NA,NA,NA",1,1,0,0,1,0,0,0
"6","R6","Aumento significativo no meu cargo e/ou salário,Melhor qualidade de vida,NA,NA,NA,NA,NA",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha/meu companheira/o,NA",0,1,0,0,0,0,0,"São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis,NA,NA,NA",0,0,0,0,0,1,0,"Doutorado na área de ecologia,NA,NA,NA",0,0,0,1,0,0,0,0,0,"Não há distinção entre contratação e promoção de homens e mulheres,NA,NA,NA,NA",0,0,0,0,1,0,0,"Quantidade de trabalho,sendo necessária assistência,Companhia,Alternativa para proporcionar experiência educacional,NA,NA",1,0,1,1,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"7","R7","Escolha de programa de pós-graduação,NA,NA,NA,NA,NA,NA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Companheiro(a)/outra pessoa não se mudou,mas o relacionamento permaneceu intacto,Em relação ao relacionamento,permanece intacto,entretanto a gente sente falta,uma vez que já morávamos juntos",0,0,1,0,0,0,0,0,0,0,"Sozinho(a),NA",1,0,0,0,0,0,0,"São feitas por mim,NA,NA,NA",1,0,0,0,0,0,0,"TCC na área de ecologia,NA,NA,NA",1,0,0,0,0,0,0,0,0,"Não há distinção entre contratação e promoção de homens e mulheres,NA,NA,NA,NA",0,0,0,0,1,0,0,"Quantidade de trabalho,sendo necessária assistência,Preocupações com a segurança pessoal,Alternativa para proporcionar experiência educacional,NA,NA",1,1,0,1,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"8","R8","Não se aplica,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha/meu companheira/o,NA",0,1,0,0,0,0,0,"São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis,NA,NA,NA",0,0,0,0,0,1,0,"TCC na área de ecologia,Mestrado na área de ecologia,NA,NA",1,0,0,0,0,0,0,0,0,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,1,"Quantidade de trabalho,sendo necessária assistência,Companhia,NA,NA,NA",1,0,1,0,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"9","R9","Aumento significativo no meu cargo e/ou salário,Escolha de programa de pós-graduação,Maior ênfase na pesquisa,Melhor qualidade de vida,Morar mais perto de parentes e amigos,NA,NA",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,"Companheiro(a)/outra pessoa significativa se mudou comigo,mas com efeitos negativos significativos no relacionamento,NA,NA,NA,NA",0,1,0,0,0,0,0,0,0,0,"Sozinho(a),NA",1,0,0,0,0,0,0,"São feitas por mim,NA,NA,NA",1,0,0,0,0,0,0,"Mestrado na área de ecologia,NA,NA,NA",0,1,0,0,0,0,0,0,0,"Homens são facilmente contratados e/ou promovidos,Mulheres não são facilmente contratadas e/ou promovidas,NA,NA,NA",1,0,0,1,0,0,0,"Quantidade de trabalho,sendo necessária assistência,Preocupações com a segurança pessoal,Alternativa para proporcionar experiência educacional,NA,NA",1,1,0,1,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
"10","R10","Não se aplica,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Não se aplica,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,1,"Com minha família de origem/parentes (mãe,pai,irmã/o,tia/o,prima/o,etc),NA",0,0,0,1,0,0,0,"São feitas de modo colaborativo - todas(os)(es) residentes são igualmente responsáveis,NA,NA,NA",0,0,0,0,0,1,0,"TCC na área de ecologia,Mestrado na área de ecologia,Mestrado em andamento,NA",1,0,0,0,0,0,0,0,0,"Homens são facilmente contratados e/ou promovidos,Mulheres não são facilmente contratadas e/ou promovidas,NA,NA,NA",1,0,0,1,0,0,0,"Quantidade de trabalho,sendo necessária assistência,Preocupações com a segurança pessoal,NA,NA,NA",1,1,0,0,0,0,"Não tenho filhos,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1
