"","Group_gender","Group_time2","N_gender_status","Proportion","Question"
"1","Men","Junior",31,0.22463768115942,"Q14"
"2","Men","Senior",37,0.480519480519481,"Q14"
"3","Women","Junior",138,1,"Q14"
"4","Women","Senior",77,0.557971014492754,"Q14"
"5","Men","Junior",31,0.22463768115942,"Q15"
"6","Men","Senior",37,0.480519480519481,"Q15"
"7","Women","Junior",138,1,"Q15"
"8","Women","Senior",77,0.557971014492754,"Q15"
"9","Men","Junior",14,0.101449275362319,"Q31"
"10","Men","Senior",16,0.207792207792208,"Q31"
"11","Women","Junior",138,1,"Q31"
"12","Women","Senior",76,0.550724637681159,"Q31"
"13","Men","Junior",3,0.0217391304347826,"Q33"
"14","Men","Senior",1,0.012987012987013,"Q33"
"15","Women","Junior",43,0.311594202898551,"Q33"
"16","Women","Senior",26,0.188405797101449,"Q33"
"17","Men","Junior",31,0.22463768115942,"Q37"
"18","Men","Senior",37,0.480519480519481,"Q37"
"19","Women","Junior",138,1,"Q37"
"20","Women","Senior",77,0.557971014492754,"Q37"
