"","GENDER_CAT","Category","Frequency","Proportion","p_value_F","chi_stat","p_valueChi","Question"
"1","Men","Indifferent",55,0.808823529411765,0.000499750124937531,15.2161556287165,0.00149925037481259,"Q26"
"2","Women","Indifferent",117,0.546728971962617,0.000499750124937531,15.2161556287165,0.00149925037481259,"Q26"
"3","Men","Primordially female",13,0.191176470588235,0.000499750124937531,15.2161556287165,0.00149925037481259,"Q26"
"4","Women","Primordially female",93,0.434579439252336,0.000499750124937531,15.2161556287165,0.00149925037481259,"Q26"
"5","Men","Primordially male",0,0,0.000499750124937531,15.2161556287165,0.00149925037481259,"Q26"
"6","Women","Primordially male",4,0.0186915887850467,0.000499750124937531,15.2161556287165,0.00149925037481259,"Q26"
"7","Men","Both",42,0.617647058823529,0.00199900049975012,12.2126037561034,0.000999500249875062,"Q27"
"8","Women","Both",92,0.431924882629108,0.00199900049975012,12.2126037561034,0.000999500249875062,"Q27"
"9","Men","Men",2,0.0294117647058824,0.00199900049975012,12.2126037561034,0.000999500249875062,"Q27"
"10","Women","Men",39,0.183098591549296,0.00199900049975012,12.2126037561034,0.000999500249875062,"Q27"
"11","Men","Women",24,0.352941176470588,0.00199900049975012,12.2126037561034,0.000999500249875062,"Q27"
"12","Women","Women",82,0.384976525821596,0.00199900049975012,12.2126037561034,0.000999500249875062,"Q27"
"13","Men","No",62,0.925373134328358,8.14768450768174e-06,17.5547805600543,0.000499750124937531,"Q32"
"14","Women","No",140,0.663507109004739,8.14768450768174e-06,17.5547805600543,0.000499750124937531,"Q32"
"15","Men","Yes",5,0.0746268656716418,8.14768450768174e-06,17.5547805600543,0.000499750124937531,"Q32"
"16","Women","Yes",71,0.336492890995261,8.14768450768174e-06,17.5547805600543,0.000499750124937531,"Q32"
"17","Men","Men",53,0.779411764705882,0.745522369297463,0.224065970270235,0.736631684157921,"Q34"
"18","Women","Men",160,0.751173708920188,0.745522369297463,0.224065970270235,0.736631684157921,"Q34"
"19","Men","Women",15,0.220588235294118,0.745522369297463,0.224065970270235,0.736631684157921,"Q34"
"20","Women","Women",53,0.248826291079812,0.745522369297463,0.224065970270235,0.736631684157921,"Q34"
"21","Men","<1",8,0.117647058823529,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"22","Women","<1",29,0.136150234741784,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"23","Men",">10",6,0.0882352941176471,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"24","Women",">10",7,0.0328638497652582,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"25","Men","0",5,0.0735294117647059,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"26","Women","0",24,0.112676056338028,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"27","Men","1-3.9",17,0.25,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"28","Women","1-3.9",110,0.516431924882629,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"29","Men","4-7.9",24,0.352941176470588,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"30","Women","4-7.9",33,0.154929577464789,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"31","Men","8-9.9",8,0.117647058823529,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"32","Women","8-9.9",10,0.0469483568075117,0.00149925037481259,26.3962344303498,0.000499750124937531,"Q39"
"33","Men","No",38,0.558823529411765,0.114170977284585,2.53199209349452,0.153423288355822,"Q40"
"34","Women","No",143,0.665116279069767,0.114170977284585,2.53199209349452,0.153423288355822,"Q40"
"35","Men","Yes",30,0.441176470588235,0.114170977284585,2.53199209349452,0.153423288355822,"Q40"
"36","Women","Yes",72,0.334883720930233,0.114170977284585,2.53199209349452,0.153423288355822,"Q40"
"37","Men","No",43,0.641791044776119,3.22148900849131e-05,17.9168489916167,0.000499750124937531,"Q42"
"38","Women","No",74,0.349056603773585,3.22148900849131e-05,17.9168489916167,0.000499750124937531,"Q42"
"39","Men","Yes",24,0.358208955223881,3.22148900849131e-05,17.9168489916167,0.000499750124937531,"Q42"
"40","Women","Yes",138,0.650943396226415,3.22148900849131e-05,17.9168489916167,0.000499750124937531,"Q42"
"41","Men","No",25,0.396825396825397,0.0238012814077983,5.67713820999032,0.0239880059970015,"Q43"
"42","Women","No",49,0.242574257425743,0.0238012814077983,5.67713820999032,0.0239880059970015,"Q43"
"43","Men","Yes",38,0.603174603174603,0.0238012814077983,5.67713820999032,0.0239880059970015,"Q43"
"44","Women","Yes",153,0.757425742574257,0.0238012814077983,5.67713820999032,0.0239880059970015,"Q43"
