"","GENDER_CAT","Category","Frequency","Proportion","p_value_F","chi_stat","p_valueChi","C_STAGE_CAT","Question"
"1","Men","Indifferent",19,0.612903225806452,0.31984007996002,2.50087485165493,0.332333833083458,"Junior","Q26"
"2","Women","Indifferent",63,0.45985401459854,0.31984007996002,2.50087485165493,0.332333833083458,"Junior","Q26"
"3","Men","Primordially female",12,0.387096774193548,0.31984007996002,2.50087485165493,0.332333833083458,"Junior","Q26"
"4","Women","Primordially female",73,0.532846715328467,0.31984007996002,2.50087485165493,0.332333833083458,"Junior","Q26"
"5","Men","Primordially male",0,0,0.31984007996002,2.50087485165493,0.332333833083458,"Junior","Q26"
"6","Women","Primordially male",1,0.0072992700729927,0.31984007996002,2.50087485165493,0.332333833083458,"Junior","Q26"
"7","Men","Indifferent",36,0.972972972972973,0.00199900049975012,11.1250463821892,0.00349825087456272,"Senior","Q26"
"8","Women","Indifferent",54,0.701298701298701,0.00199900049975012,11.1250463821892,0.00349825087456272,"Senior","Q26"
"9","Men","Primordially female",1,0.027027027027027,0.00199900049975012,11.1250463821892,0.00349825087456272,"Senior","Q26"
"10","Women","Primordially female",20,0.25974025974026,0.00199900049975012,11.1250463821892,0.00349825087456272,"Senior","Q26"
"11","Men","Primordially male",0,0,0.00199900049975012,11.1250463821892,0.00349825087456272,"Senior","Q26"
"12","Women","Primordially male",3,0.038961038961039,0.00199900049975012,11.1250463821892,0.00349825087456272,"Senior","Q26"
"13","Men","Both",16,0.516129032258065,0.00749625187406297,8.01395553952131,0.0224887556221889,"Junior","Q27"
"14","Women","Both",54,0.397058823529412,0.00749625187406297,8.01395553952131,0.0224887556221889,"Junior","Q27"
"15","Men","Men",0,0,0.00749625187406297,8.01395553952131,0.0224887556221889,"Junior","Q27"
"16","Women","Men",29,0.213235294117647,0.00749625187406297,8.01395553952131,0.0224887556221889,"Junior","Q27"
"17","Men","Women",15,0.483870967741935,0.00749625187406297,8.01395553952131,0.0224887556221889,"Junior","Q27"
"18","Women","Women",53,0.389705882352941,0.00749625187406297,8.01395553952131,0.0224887556221889,"Junior","Q27"
"19","Men","Both",26,0.702702702702703,0.0989505247376312,4.6466303966304,0.0969515242378811,"Senior","Q27"
"20","Women","Both",38,0.493506493506494,0.0989505247376312,4.6466303966304,0.0969515242378811,"Senior","Q27"
"21","Men","Men",2,0.0540540540540541,0.0989505247376312,4.6466303966304,0.0969515242378811,"Senior","Q27"
"22","Women","Men",10,0.12987012987013,0.0989505247376312,4.6466303966304,0.0969515242378811,"Senior","Q27"
"23","Men","Women",9,0.243243243243243,0.0989505247376312,4.6466303966304,0.0969515242378811,"Senior","Q27"
"24","Women","Women",29,0.376623376623377,0.0989505247376312,4.6466303966304,0.0969515242378811,"Senior","Q27"
"25","Men","No",27,0.870967741935484,0.0455984089723169,4.37210689268844,0.0334832583708146,"Junior","Q32"
"26","Women","No",93,0.683823529411765,0.0455984089723169,4.37210689268844,0.0334832583708146,"Junior","Q32"
"27","Men","Yes",4,0.129032258064516,0.0455984089723169,4.37210689268844,0.0334832583708146,"Junior","Q32"
"28","Women","Yes",43,0.316176470588235,0.0455984089723169,4.37210689268844,0.0334832583708146,"Junior","Q32"
"29","Men","No",35,0.972222222222222,4.76420147347214e-05,15.0491042893188,0.000499750124937531,"Senior","Q32"
"30","Women","No",47,0.626666666666667,4.76420147347214e-05,15.0491042893188,0.000499750124937531,"Senior","Q32"
"31","Men","Yes",1,0.0277777777777778,4.76420147347214e-05,15.0491042893188,0.000499750124937531,"Senior","Q32"
"32","Women","Yes",28,0.373333333333333,4.76420147347214e-05,15.0491042893188,0.000499750124937531,"Senior","Q32"
"33","Men","Men",22,0.709677419354839,1,0.000332414576379172,1,"Junior","Q34"
"34","Women","Men",97,0.708029197080292,1,0.000332414576379172,1,"Junior","Q34"
"35","Men","Women",9,0.290322580645161,1,0.000332414576379172,1,"Junior","Q34"
"36","Women","Women",40,0.291970802919708,1,0.000332414576379172,1,"Junior","Q34"
"37","Men","Men",31,0.837837837837838,1,0.0140624726217347,1,"Senior","Q34"
